detector,anomaly_type,precision,recall,f1,fpr,tp,fp,tn,fn,support
StatisticalDetector,overall,0.0868,0.6745,0.1539,0.2712,771,8107,21784,372,1143
StatisticalDetector,spike,0.002,1.0,0.0039,0.2712,16,8107,21784,0,16
StatisticalDetector,frozen_value,0.0306,1.0,0.0594,0.2712,256,8107,21784,0,256
StatisticalDetector,calibration_drift,0.0277,0.4657,0.0523,0.2712,231,8107,21784,265,496
StatisticalDetector,communication_dropout,0.0027,0.1864,0.0053,0.2712,22,8107,21784,96,118
StatisticalDetector,correlated_noise,0.0295,0.9572,0.0571,0.2712,246,8107,21784,11,257
LSTMAutoencoder,overall,0.0369,1.0,0.0711,0.9992,1143,29868,23,0,1143
LSTMAutoencoder,spike,0.0005,1.0,0.0011,0.9992,16,29868,23,0,16
LSTMAutoencoder,frozen_value,0.0085,1.0,0.0169,0.9992,256,29868,23,0,256
LSTMAutoencoder,calibration_drift,0.0163,1.0,0.0321,0.9992,496,29868,23,0,496
LSTMAutoencoder,communication_dropout,0.0039,1.0,0.0078,0.9992,118,29868,23,0,118
LSTMAutoencoder,correlated_noise,0.0085,1.0,0.0169,0.9992,257,29868,23,0,257
IsolationForest,overall,0.041,0.7122,0.0775,0.6373,814,19051,10840,329,1143
IsolationForest,spike,0.0005,0.625,0.001,0.6373,10,19051,10840,6,16
IsolationForest,frozen_value,0.0101,0.7617,0.02,0.6373,195,19051,10840,61,256
IsolationForest,calibration_drift,0.0192,0.752,0.0374,0.6373,373,19051,10840,123,496
IsolationForest,communication_dropout,0.0042,0.678,0.0083,0.6373,80,19051,10840,38,118
IsolationForest,correlated_noise,0.0081,0.607,0.016,0.6373,156,19051,10840,101,257
ConsensusEnsemble,overall,0.0448,0.8906,0.0854,0.7257,1018,21692,8199,125,1143
ConsensusEnsemble,spike,0.0007,1.0,0.0015,0.7257,16,21692,8199,0,16
ConsensusEnsemble,frozen_value,0.0117,1.0,0.0231,0.7257,256,21692,8199,0,256
ConsensusEnsemble,calibration_drift,0.0185,0.8246,0.0362,0.7257,409,21692,8199,87,496
ConsensusEnsemble,communication_dropout,0.004,0.7373,0.0079,0.7257,87,21692,8199,31,118
ConsensusEnsemble,correlated_noise,0.0114,0.9728,0.0225,0.7257,250,21692,8199,7,257
